time	rna_tracker	protein_tracker	dATP	dCTP	dGTP	dTTP	ATP	CTP	GTP	UTP	chromosome
0	0	0	10000000	10000000	10000000	10000000	100000000	100000000	100000000	100000000	1
1	0	0	9999172	9999500	9999482	9999201	99998413	99999006	99999237	99998074	1
2	0	0	9998226	9998881	9998866	9998242	99991773	99994124	99996117	99989662	1
3	0	0	9997183	9998210	9998193	9997241	99981139	99985584	99990220	99976592	1
4	0	0	9996186	9997494	9997486	9996162	99968234	99975089	99981973	99961487	1
5	1	0	9995268	9996776	9996743	9995285	99954270	99963318	99972409	99945465	1
6	8	0	9994583	9996221	9996177	9994625	99940207	99950961	99962204	99928891	1
7	14	1	9993507	9995378	9995325	9993606	99925825	99938469	99951095	99912495	1
8	26	2	9992573	9994623	9994578	9992633	99911070	99925640	99938864	99896033	1
9	37	11	9991564	9993874	9993864	9991598	99895958	99912991	99925220	99879801	1
10	52	18	9990557	9993139	9993142	9990564	99880286	99900403	99910112	99863489	1
11	67	33	9989649	9992491	9992470	9989642	99863774	99887895	99892521	99847349	1
12	79	59	9988791	9991862	9991824	9988840	99846312	99875534	99872257	99831383	1
13	96	83	9987929	9991040	9991033	9987912	99828112	99863171	99848608	99815487	1
14	109	117	9986949	9990250	9990189	9986918	99808445	99850832	99821132	99799688	1
15	131	147	9986060	9989476	9989431	9986079	99787245	99838523	99788363	99783718	1
16	148	199	9985267	9988729	9988652	9985332	99765084	99826074	99752481	99767595	1
17	164	254	9984379	9987808	9987754	9984379	99741712	99813650	99713278	99751865	1
18	184	324	9983620	9987116	9987043	9983640	99718083	99801310	99673101	99736165	1
19	205	389	9982583	9986347	9986295	9982573	99693875	99789078	99631397	99720282	1
20	229	461	9981659	9985735	9985697	9981710	99669752	99776978	99589599	99704516	1
21	254	543	9980596	9984895	9984849	9980599	99645553	99764690	99547490	99688838	1
22	281	613	9979613	9984204	9984204	9979661	99620626	99752387	99504225	99673037	1
23	307	680	9978649	9983548	9983500	9978662	99595568	99740409	99460511	99657281	1
24	327	748	9977815	9982868	9982810	9977817	99569758	99728368	99414561	99641762	1
25	346	836	9976775	9981982	9981970	9976770	99543133	99716182	99366393	99626161	1
26	368	895	9975745	9981244	9981212	9975753	99516006	99703887	99316794	99610613	1
27	392	964	9974815	9980522	9980509	9974799	99487864	99691842	99264111	99594988	1
28	412	1042	9974037	9979892	9979908	9973984	99459813	99679751	99210596	99579163	1
29	442	1119	9972977	9979084	9979105	9972978	99430997	99667727	99155475	99563551	1
30	465	1191	9972115	9978381	9978412	9972106	99401840	99655726	99099218	99547857	1
31	486	1264	9971048	9977735	9977748	9971022	99372932	99643609	99043671	99532019	1
32	501	1346	9970235	9977283	9977204	9970237	99343251	99631278	98985885	99516297	1
33	516	1421	9969310	9976556	9976528	9969264	99313112	99618936	98926355	99500578	1
34	535	1495	9968046	9975724	9975706	9968065	99282854	99606626	98866388	99484647	1
35	558	1567	9967007	9975148	9975115	9967093	99252548	99594489	98806718	99468866	1
36	574	1658	9966036	9974485	9974458	9966032	99222133	99582016	98745597	99452887	1
37	591	1736	9964940	9973789	9973769	9964967	99191451	99569524	98684177	99437078	1
38	603	1807	9964275	9973198	9973142	9964258	99160680	99557260	98622514	99421117	1
39	623	1874	9963260	9972311	9972252	9963272	99129524	99544910	98559695	99405074	1
40	634	1962	9962389	9971559	9971515	9962427	99097809	99532495	98495143	99389250	1
41	660	2041	9961417	9970626	9970610	9961443	99066040	99520083	98430716	99373321	1
42	678	2111	9960623	9969775	9969753	9960613	99033812	99507901	98365043	99357228	1
43	698	2177	9959692	9968975	9968972	9959668	99001128	99495433	98297701	99341280	1
44	719	2273	9958662	9968269	9968257	9958684	98967933	99483130	98229191	99325656	1
45	735	2349	9957792	9967644	9967607	9957842	98934519	99470841	98159990	99309759	1
46	753	2434	9956902	9966982	9966942	9956888	98900609	99458469	98089469	99293957	1
47	773	2524	9955818	9966214	9966210	9955838	98866698	99446194	98018997	99278243	1
48	799	2616	9954732	9965615	9965604	9954745	98832964	99433864	97949020	99262422	1
49	819	2699	9953665	9965124	9965108	9953711	98799577	99421614	97879708	99246874	1
50	831	2774	9952619	9964558	9964560	9952681	98765642	99409254	97809391	99231119	1
51	849	2857	9951585	9963968	9963943	9951582	98731489	99396686	97737426	99215481	1
52	869	2945	9950514	9963352	9963309	9950552	98697684	99384439	97666475	99199768	1
53	890	3037	9949484	9962650	9962607	9949586	98663633	99372237	97594970	99184026	1
54	904	3111	9948522	9961866	9961840	9948549	98629952	99359888	97523959	99168303	1
55	924	3199	9947437	9961157	9961157	9947441	98595909	99347616	97452587	99152774	1
56	939	3288	9946516	9960474	9960450	9946544	98562029	99335235	97381651	99137114	1
57	955	3356	9945640	9959844	9959811	9945678	98527897	99322812	97310033	99121023	1
58	973	3456	9944740	9959173	9959114	9944751	98493902	99310444	97238400	99105033	1
59	985	3553	9943677	9958454	9958427	9943682	98460381	99298052	97168008	99089464	1
60	1002	3644	9942725	9957769	9957759	9942705	98427236	99285688	97099200	99073520	1
61	1020	3745	9941618	9957043	9957020	9941638	98394616	99273176	97032301	99057769	1
62	1045	3828	9940778	9956343	9956314	9940821	98361601	99260907	96963913	99041825	1
63	1064	3916	9939893	9955621	9955605	9939924	98328361	99248773	96894799	99026380	1
64	1088	3996	9938887	9954874	9954848	9938880	98295190	99236715	96826008	99010896	1
65	1109	4064	9938009	9954026	9954011	9938015	98261565	99224489	96755871	98995221	1
66	1121	4135	9937088	9953275	9953262	9937095	98227178	99212055	96683422	98979652	1
67	1133	4217	9936232	9952556	9952549	9936282	98192426	99199679	96609532	98963740	1
68	1158	4312	9935185	9951780	9951799	9935189	98157279	99187400	96534904	98947894	1
69	1176	4397	9934214	9951081	9951055	9934241	98122360	99175161	96460510	98932286	1
70	1190	4485	9933360	9950345	9950328	9933372	98087591	99162821	96386779	98916286	1
71	1205	4585	9932450	9949696	9949654	9932520	98053279	99150577	96314217	98900684	1
72	1223	4658	9931707	9949059	9948995	9931747	98018669	99138264	96241024	98884856	1
73	1234	4739	9930715	9948237	9948228	9930743	97983676	99125811	96165832	98869142	1
74	1255	4815	9929734	9947504	9947459	9929789	97948424	99113546	96090675	98853669	1
75	1272	4900	9928713	9946718	9946672	9928748	97912274	99101139	96012405	98837975	1
76	1290	4992	9927879	9945972	9945952	9927888	97876338	99089042	95934881	98822453	1
77	1311	5065	9926959	9945283	9945244	9927014	97840056	99077099	95857033	98806770	1
78	1326	5159	9925951	9944487	9944476	9925965	97803219	99065033	95777993	98791029	1
79	1345	5254	9925013	9943823	9943796	9925048	97766470	99052598	95699161	98775311	1
80	1362	5335	9924079	9943069	9943021	9924115	97729923	99040368	95619926	98759500	1
81	1377	5430	9923278	9942361	9942320	9923301	97693571	99028117	95541751	98743887	1
82	1390	5515	9922289	9941562	9941519	9922338	97657046	99015742	95463003	98728325	1
83	1408	5599	9921491	9940953	9940916	9921467	97620554	99003205	95383608	98712414	1
84	1426	5681	9920634	9940325	9940293	9920660	97583571	98990986	95303120	98696503	1
85	1452	5771	9919589	9939542	9939495	9919621	97547274	98978906	95224039	98680868	1
86	1474	5855	9918656	9938703	9938692	9918625	97511605	98966780	95146077	98665305	1
87	1489	5956	9917704	9937951	9937918	9917705	97476185	98954639	95069612	98649459	1
88	1512	6061	9916848	9937254	9937215	9916893	97441014	98942341	94994330	98633822	1
89	1524	6152	9915871	9936376	9936349	9915898	97406273	98930229	94920413	98617910	1
90	1541	6244	9915010	9935707	9935709	9915078	97371534	98917809	94846608	98601974	1
91	1563	6318	9913992	9934919	9934923	9914049	97336612	98905595	94771986	98586466	1
92	1573	6408	9913065	9934203	9934203	9913143	97301455	98893339	94697413	98570921	1
93	1591	6492	9912109	9933403	9933390	9912130	97266293	98880952	94622297	98555185	1
94	1605	6567	9911322	9932709	9932679	9911318	97230590	98868695	94546665	98539173	1
95	1622	6643	9910448	9932014	9931957	9910499	97194734	98856181	94469473	98523666	1
96	1641	6738	9909444	9931091	9931100	9909494	97159363	98844158	94393529	98508219	1
97	1651	6820	9908583	9930432	9930400	9908653	97123449	98831892	94315687	98492671	1
98	1663	6897	9907539	9929752	9929699	9907606	97087306	98819645	94238017	98477129	1
99	1680	6973	9906409	9929109	9929077	9906466	97050865	98807121	94159257	98461442	1
100	1701	7071	9905391	9928552	9928529	9905432	97014333	98795097	94080010	98445738	1
101	1718	7160	9904332	9928015	9927990	9904410	96978039	98782982	94001287	98430091	1
102	1737	7252	9903225	9927416	9927383	9903256	96941657	98770885	93922835	98414436	1
103	1756	7344	9902241	9926777	9926763	9902257	96905186	98758690	93843817	98398935	1
104	1780	7424	9901343	9926071	9926034	9901387	96869122	98746649	93765780	98383520	1
105	1800	7511	9900453	9925285	9925280	9900425	96833393	98734623	93688819	98367865	1
106	1812	7606	9899396	9924632	9924591	9899446	96798122	98722710	93612928	98352382	1
107	1831	7695	9898298	9923928	9923929	9898351	96763107	98710539	93538027	98336786	1
108	1848	7781	9897189	9923347	9923334	9897209	96727862	98698353	93462907	98321138	1
109	1860	7878	9896150	9922776	9922756	9896206	96693332	98686194	93389637	98305617	1
110	1877	7962	9895429	9922228	9922151	9895380	96658730	98673831	93315750	98290003	1
111	1895	8044	9894443	9921338	9921340	9894394	96623757	98661794	93241212	98274505	1
112	1909	8127	9893628	9920681	9920621	9893640	96588453	98649695	93166123	98258773	1
113	1937	8209	9892701	9919759	9919729	9892714	96553238	98637651	93090479	98243134	1
114	1949	8279	9891923	9919010	9918969	9891929	96517691	98625577	93014146	98227760	1
115	1965	8372	9891102	9918109	9918110	9891082	96482148	98613675	92937675	98212189	1
116	1976	8435	9890299	9917389	9917348	9890264	96446585	98601560	92861166	98196371	1
117	1994	8524	9889310	9916592	9916537	9889319	96410693	98589633	92783875	98180845	1
118	2013	8615	9888568	9915803	9915783	9888559	96374578	98577554	92705758	98165163	1
119	2038	8702	9887616	9914936	9914933	9887638	96338759	98565465	92628043	98149605	1
120	2060	8773	9886824	9914164	9914161	9886866	96302490	98553549	92549429	98134313	1
121	2076	8870	9886068	9913361	9913370	9886098	96266019	98541644	92470080	98118843	1
122	2089	8952	9885384	9912564	9912545	9885319	96229831	98529528	92391786	98103450	1
123	2105	9045	9884309	9911828	9911840	9884320	96193393	98517404	92311989	98087968	1
124	2127	9129	9883404	9911271	9911176	9883435	96156787	98505449	92232374	98072614	1
125	2135	9218	9882633	9910575	9910488	9882707	96120316	98493184	92152629	98056893	1
