% BSU Number ;% Gene_Name ;% number messenger  ;number protein;promoter_efficiency  (1/s);messenger degradation (1/s);rbs_eficiency (1/s);protein degradation (1/s)
BSU00010;dnaA;7.1098;318.9106;0.096045;0.013509;0.022178;0.00049444
BSU00020;dnaN;6.116;1153.3219;0.072273;0.011817;0.093239;0.00049444
BSU00030;yaaA;5.3201;117.4304;0.062985;0.011839;0.010914;0.00049444
BSU00040;recF;5.3609;247.2853;0.060096;0.01121;0.022808;0.00049444
BSU00050;yaaB;10.4608;21.9854;0.11698;0.011183;0.0010392;0.00049444
BSU00060;gyrB;10.2815;221.7689;0.10239;0.0099589;0.010665;0.00049444
BSU00070;gyrA;8.2181;588.2753;0.087015;0.010588;0.035394;0.00049444
BSU00080;yaaC;0.083795;10.1137;0.00059913;0.0071499;0.059678;0.00049444
BSU00090;guaB;23.878;8753.0235;0.16132;0.0067558;0.18125;0.00049444
BSU00100;dacA;7.3424;1103.7134;0.1227;0.016711;0.074325;0.00049444
BSU00110;yaaD;27.231;4722.6238;0.11008;0.0040423;0.085751;0.00049444
BSU00120;yaaE;21.3027;817.0332;0.1046;0.0049103;0.018964;0.00049444
BSU00130;serS;5.1029;1381.3408;0.02495;0.0048893;0.13385;0.00049444
BSU00140;dck;1.0046;65.4413;0.0094899;0.0094461;0.032208;0.00049444
BSU00150;dgk;2.2608;163.0193;0.021159;0.0093593;0.035654;0.00049444
BSU00160;yaaH;0.12539;18.2667;0.00097668;0.0077894;0.072032;0.00049444
BSU00170;yaaI;0.22803;69.3843;0.0011521;0.0050527;0.15045;0.00049444
BSU00180;yaaJ;0.20784;6.7828;0.0054683;0.02631;0.016136;0.00049444
BSU00190;dnaX;3.4775;94.2633;0.03956;0.011376;0.013403;0.00049444
BSU00200;yaaK;9.6799;1278.0548;0.094816;0.0097951;0.065282;0.00049444
BSU00210;recR;5.4395;1391.2675;0.064253;0.011812;0.12646;0.00049444
BSU00220;yaaL;2.1141;1389.9366;0.0361;0.017075;0.32507;0.00049444
BSU00230;bofA;1.3057;17.9209;0.036029;0.027593;0.0067861;0.00049444
BSU00240;csfB;10.1565;1069.1243;0.20102;0.019792;0.052048;0.00049444
BSU00250;xpaC;1.335;297.1844;0.039815;0.029823;0.11007;0.00049444
BSU00260;yaaN;1.296;143.0474;0.029956;0.023114;0.054575;0.00049444
BSU00270;yaaO;2.5044;43.6524;0.050666;0.020231;0.0086184;0.00049444
BSU00280;tmk;2.4339;148.6054;0.04741;0.019479;0.030189;0.00049444
BSU00290;yaaQ;5.9808;385.7011;0.06366;0.010644;0.031887;0.00049444
BSU00300;yaaR;7.2849;451.8848;0.080663;0.011073;0.030671;0.00049444
BSU00310;holB;7.0236;284.9628;0.076814;0.010937;0.020061;0.00049444
BSU00320;yaaT;9.4185;108.9049;0.10066;0.010687;0.0057172;0.00049444
BSU00330;yabA;4.5916;32.2959;0.047434;0.01033;0.0034778;0.00049444
BSU00340;yabB;2.9165;83.2909;0.03302;0.011322;0.014121;0.00049444
BSU00350;yazA;4.8296;142.4308;0.055232;0.011436;0.014582;0.00049444
BSU00360;yabC;3.6795;46.2234;0.040082;0.010893;0.0062115;0.00049444
BSU00370;abrB;15.7455;5324.6207;0.072744;0.00462;0.16721;0.00049444
BSU00380;metS;9.7095;1758.8215;0.078361;0.0080705;0.089566;0.00049444
BSU00390;yabD;2.592;193.4465;0.020794;0.0080225;0.036901;0.00049444
BSU00400;yabE;4.8605;40.5737;0.097013;0.019959;0.0041274;0.00049444
BSU00410;rnmV;2.0882;10.3317;0.030593;0.01465;0.0024463;0.00049444
BSU00420;ksgA;0.64407;172.1734;0.0076559;0.011887;0.13218;0.00049444
BSU00430;yabG;0.036704;1.9073;0.00037394;0.010188;0.025694;0.00049444
BSU00440;veg;5.7692;67.1056;0.034081;0.0059074;0.0057512;0.00049444
BSU00450;sspF;0.035367;1.4992;0.00070862;0.020036;0.02096;0.00049444
BSU00460;ispE;4.9568;315.2613;0.073961;0.014921;0.031448;0.00049444
BSU00470;purR;9.2655;395.9075;0.14239;0.015368;0.021127;0.00049444
BSU00480;yabJ;15.1617;786.8857;0.14144;0.0093291;0.025661;0.00049444
BSU00490;spoVG;8.4158;612.5527;0.015612;0.0018551;0.035989;0.00049444
BSU00500;gcaD;12.9123;991.0544;0.079517;0.0061582;0.03795;0.00049444
BSU00510;prs;13.1848;3151.4366;0.072145;0.0054718;0.11818;0.00049444
BSU00520;ctc;10.8736;560.67;0.050368;0.0046321;0.025495;0.00049444
