name	start	end	brin_DNA	motif	sigma	genes
U1	150	9440	1	M16	SigA	S3, dnaA, S5, dnaN, yaaA, recF,yaaB, gyrB, S6, gyrA
U4	3169	9440	1	M16	SigA	yaaA, recF, yaaB, gyrB, S6, gyrA
U5	3653	9440	1	M4	SigA	yaaB, gyrB, S6, gyrA
U11	15677	15875	-1	M8	SigGF	yaaC
U10	15870	17383	1	M14	SigA	guaB
U13	17453	22135	1	M16	SigA	S10, dacA, S11, S12, pdxS, pdxT, NA, serS
U15	18976	22135	1	M7	SigA	S12, pdxS, pdxT, NA, serS
U19	22519	23828	-1	M16	SigA	dgk, dck
U20	23905	25203	-1	M3	SigEF	yaaH
U22	23905	25810	-1	M11	SigB	yaaI, yaaH
U21	25657	30363	1	M4	SigA	S16, tadA, S17, scr, S18,dnaX, yaaK, recR, yaaL, bofA, S19, rrnA-16S
U23	26383	30539	1	M19	SigA	S17, scr, S18,dnaX, yaaK, recR, yaaL, bofA, S19, rrnA-16S
U24	26779	31771	1	M7	SigA	dnaX, yaaK, recR, yaaL, bofA,S19, rrnA-16S
U25	28383	30495	1	M19	SigA	yaaK, recR, yaaL, bofA,S19, rrnA-16S
U26	29725	30363	1	M3	SigEF	bofA, S19,rrnA-16S
U28	35460	41869	1	M5	SigK	csfB, xpaC, yaaN, S22, yaaO, tmk,yaaQ, yaaR, holB, yaaT
U29	35797	44795	1	M9	SigWXY	xpaC, yaaN, S22, yaaO, tmk, yaaQ, yaaR, holB, yaaT, yabA, yabB, yazA, yabC
U30	39112	44663	1	M11	SigB	tmk,yaaQ, yaaR, holB, yaaT, yabA, yabB, yazA, yabC
U31	39823	44795	1	M4	SigA	yaaQ, yaaR, holB, yaaT, yabA, yabB, yazA, yabC
U32	44827	45222	-1	M19	SigA	abrB
U33	44849	45399	-1	M19	SigA	S23,abrB
U34	45524	51483	1	M16	SigA	S24, metS, yabD, S26, yabE,S27, rnmV, ksgA
U38	48667	51483	1	M14	SigA	yabE, S27, rnmV, ksgA
U37	48616	50735	1	M7	SigA	yabE, S27,rnmV, ksgA
U36	48556	51483	1	M3	SigEF	yabE, S27, rnmV, ksgA
U41	50097	51483	1	M11	Sig-	rnmV, ksgA
U39	49987	51483	1	M16	SigA	S27, rnmV, ksgA
U42	51558	52539	1	M5	SigK	S28, yabG
U43	52721	53353	1	M19	SigA	veg, S30, sspF
U45	53111	53353	1	M8	SigGF	S30, sspF
U46	53469	56147	1	M16	SigA	ispE, purR, yabJ, S32,spoVG
U48	55817	64639	1	M1	SigH	spoVG, S33, gcaD, prs,ctc, pth, yabK, S34, mfd, S35, spoVT
U49	56306	64639	1	M16	SigA	gcaD, prs, ctc, pth, yabK, S34, mfd, S35, spoVT
U50	58730	64639	1	M11	SigB	ctc, pth, yabK, S34, mfd, S35, spoVT
U51	59689	64639	1	M11	Sig-	yabK, S34, mfd, S35, spoVT
U52	64001	64639	1	M8	SigGF	S35, spoVT
U53	64746	70007	1	M16	SigA	yabM, yabN, yabO, yabP, yabQ, divIC, yabR
U54	66322	70007	1	M19	SigA	yabN, yabO, yabP, yabQ,divIC, yabR
U55	67081	70249	1	M10	SigD	yabO, yabP, yabQ, divIC, yabR,trnSL-Met1
U57	68181	70007	1	M3	SigEF	yabP, yabQ, divIC, yabR
U59	69105	70007	1	M1	SigH	divIC, yabR
U58	69044	70535	1	M9	SigWXY	divIC, yabR, trnSL-Met1, trnSL-Glu1, S36
U61	70495	78895	1	M7	SigA	spoIIE, yabS, yabT, tilS,hprT, S38, ftsH
U60	70156	74803	1	M17	SigA	trnSL-Met1, trnSL-Glu1, S36, spoIIE, yabS, yabT
U64	73065	78895	1	M3	SigEF	yabS, yabT, tilS, hprT, S38, ftsH
U63	72031	73549	1	M11	SigB	yabS
U66	74886	90600	1	M19	SigA	tilS, hprT, S38, ftsH, S39, S40, coaX, hslO, yacD,cysK, pabB, pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS, S43, rrnJ-16S
U65	74385	78895	1	M11	SigB	tilS, hprT, S38, ftsH
U67	75749	90600	1	M14	SigA	hprT, S38, ftsH, S39, S40, coaX, hslO, yacD,cysK, pabB, pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS, S43, rrnJ-16S
U70	79027	90600	1	M14	SigA	S40, coaX, hslO, yacD, cysK,pabB, pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS, S43, rrnJ-16S
U72	81723	90600	1	M14	SigA	cysK, pabB, pabA, pabC, sul,folB, folK, yazB, dusB, S42, lysS, S43, rrnJ-16S
U71	81448	90204	1	M3	SigEF	cysK,pabB, pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS
U74	82824	90776	1	M7	SigA	pabB, pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS,S43, rrnJ-16S
U73	82768	90226	1	M2	SigI	pabB,pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS
U76	84066	90776	1	M14	SigA	pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS,S43, rrnJ-16S
U75	83692	90226	1	M19	SigA	pabA, pabC, sul, folB, folK, yazB, dusB, S42, lysS
U81	101404	155916	1	M19	SigA	ctsR, mcsA, mcsB, clpC, radA, disA, S45, yacL, ispD, ispF,gltX, S46, cysE, cysS, mrnC, rlmB, yacP, sigH, S47, rpmGB, secE, S48, nusG, S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC, S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U80	101356	134752	1	M11	SigB	ctsR, mcsA, mcsB, clpC, radA, disA, S45, yacL, ispD, ispF,gltX, S46, cysE, cysS, mrnC, rlmB, yacP, sigH, S47, rpmGB, secE, S48, nusG, S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC
U79	101291	155894	1	M19	SigA	ctsR, mcsA, mcsB, clpC,radA, disA, S45, yacL, ispD, ispF, gltX, S46, cysE, cysS, mrnC, rlmB, yacP, sigH, S47, rpmGB, secE, S48, nusG, S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC, S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U83	106576	155916	1	M9	SigWXY	disA, S45, yacL, ispD, ispF, gltX, S46, cysE, cysS, mrnC, rlmB, yacP,sigH, S47, rpmGB, secE, S48, nusG, S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC, S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U84	110994	155916	1	M19	SigA	gltX, S46, cysE, cysS, mrnC, rlmB, yacP, sigH, S47, rpmGB, secE, S48, nusG,S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC, S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U85	111999	134070	1	M5	SigK	S46, cysE, cysS, mrnC, rlmB, yacP,sigH, S47, rpmGB, secE, S48, nusG, S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA
U86	116560	155916	1	M19	SigA	sigH, S47, rpmGB, secE, S48, nusG,S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC, S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U88	118452	155916	1	M17	SigA	S49, rplK, S50, rplA, NA, rplJ, rplL, ybxB, S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC,S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U90	121686	155916	1	M16	SigA	S51, rpoB, rpoC, S52, rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC,S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U94	129285	155916	1	M17	SigA	rplGB, S53, rpsL, rpsG, fusA, S54, tufA, ybaC,S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U97	134136	155916	1	M7	SigA	ybaC,S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U98	135170	155916	1	M17	SigA	S55, rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplNA, rplX, rplE, rpsNA, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, mapA, ybzG, infA, rpmJ, rpsM, rpsK, S56, rpoA, rplQ, S57, ybxA, ybaE, ybaF, truA, NA, rplM, rpsI, S59, ybaJ
U102	153725	155916	1	M17	SigA	NA, rplM, rpsI, S59, ybaJ
U100	153211	155916	1	M10	Sig-	NA, rplM, rpsI, S59, ybaJ
U104	155121	155916	1	M4	SigA	ybaJ
U103	154838	155916	1	M19	SigA	S59, ybaJ
U105	156081	157258	1	M8	SigGF	ybaK, cwlD
U106	156574	157280	1	M3	SigEF	cwlD
U107	157370	161086	1	M4	SigA	salA, S61, kbaA, S63, S64, rrnI-16S
U108	158082	159116	-1	M8	SigGF	gerD, S60
U109	159182	160594	-1	M3	SigEF	ybaN, S62
U110	160675	171580	1	M17	SigA	S64, rrnI-16S, rrnI-23S, rrnI-5S, trnI-Asn, trnI-Thr, trnI-Gly, trnI-Arg, trnI-Pro, trnI-Ala, rrnH-16S, rrnH-23S, rrnH-5S, rrnG-16S
U111	176926	178510	1	M16	SigA	S66, ybaR
U112	178598	179566	1	M4	SigA	ybaS
U114	179620	183361	-1	M14	SigA	feuA, feuB, feuC, ybbA
U115	179620	185056	-1	M14	SigA	ybbB, feuA, feuB, feuC, ybbA
U116	185165	193009	-1	M14	SigA	murQ, ybbH, ybbF, ybbE, ybbD, ybbC
U117	190379	194072	-1	M7	SigA	ybbK, ybbJ, murQ, ybbH, ybbF
U119	194788	202063	1	M9	SigWXY	sigW, rsiW,S68, ybbP, ybbR, glmM, NA, S69, glmS
U118	194178	202063	1	M17	SigA	trnSL-Glu2, trnSL-Val1, trnSL-Thr1, trnSL-Tyr1, trnSL-Gln2, S67,sigW, rsiW, S68, ybbP, ybbR, glmM, NA, S69, glmS
U121	196132	202063	1	M19	SigA	S68, ybbP, ybbR, glmM,NA, S69, glmS
U124	200014	202085	1	M18	Sig-	NA, S69, glmS
U123	199957	202085	1	M17	SigA	NA, S69, glmS
U122	199878	202085	1	M5	SigK	NA, S69, glmS
U125	201831	203521	-1	M4	SigA	alkA, S70
U126	203603	203823	1	M19	SigA	adaA
U127	204977	211721	1	M14	SigA	S72, S73, ndhF, ybcC, S74, ybcF, ybcH, ybcI, S75, ybzH
U129	211414	213019	1	M17	SigA	ybzH, S76, ybcL
U132	213870	223159	1	M14	SigA	S77, skfA, skfB, skfC, skfE, skfF, skfG, skfH, S78, S79, ybdG, ybdJ, ybdK, ybzI
U133	216321	220060	1	M1	SigH	skfE, skfF, skfG, skfH
U135	221861	223247	1	M19	SigA	ybdK, ybzI
U136	222945	223181	1	M7	SigA	ybzI
U138	224093	224970	-1	M14	SigA	ybdN
U139	225023	227361	1	M10	SigD	ybdO,S80, ybxG
U140	226436	227977	1	M19	SigA	S80, ybxG
U141	228021	228505	1	M8	SigGF	csgA, ybxH
U142	229197	229382	-1	M1	SigH	ybxI
U143	229493	230771	1	M11	SigB	cypC
U145	230451	231118	-1	M11	SigB	ybyB
U146	231288	232971	1	M14	SigA	ybeC
U147	233025	233938	-1	M6	Sig-	glpQ
U149	233025	235401	-1	M21	Sig-	S82, glpT, glpQ
U150	233025	235493	-1	M4	SigA	S83, S82, glpT, glpQ
U148	234998	236843	1	M5	SigK	S81, ybeF, ybfA
U151	235904	238119	1	M14	SigA	ybfA, ybfB
U152	238349	238569	-1	M3	SigEF	S84, ybfE
U153	238195	241889	-1	M12	Sig-	ybfG, S86, ybfF, S85, S84, ybfE
U154	242925	243695	-1	M4	SigA	ybfI
U155	243858	245027	1	M7	SigA	purT
U157	245183	246479	1	M17	SigA	mpr, ybfJ
U156	245121	249515	1	M3	SigEF	mpr, ybfJ,S87, ybfK, S88, pssA, ybfM, psd
U159	246583	249581	1	M14	SigA	S87, ybfK, S88, pssA, ybfM, psd
U160	246908	249515	1	M10	SigD	S88, pssA, ybfM, psd
U161	249934	253475	1	M9	SigWXY	ybfO, ybfP, S89, ybfQ
U162	251385	253475	1	M7	SigA	ybfP, S89,ybfQ
U163	252460	253519	1	M19	SigA	ybfQ
U165	253529	254805	-1	M1	SigH	gltP
U166	254541	254849	-1	M3	SigEF	gltP
U168	254915	257647	-1	M14	SigA	S91, nagBB, nagP
U169	257728	258799	1	M14	SigA	ybgA, ybgB
U170	258491	258799	1	M9	Sig-	ybgB
U172	258876	260075	1	M16	SigA	S92, ilvE
U173	260129	261647	-1	M14	SigA	S93, ybgF
U174	260129	262658	-1	M14	SigA	ybgG,S93, ybgF
U177	267772	268124	1	M14	SigA	S94, ycbC
U178	273206	277034	1	M14	SigA	ycbG, garD,S95, ycbJ, NA
U179	275603	277034	1	M7	SigA	S95, ycbJ, NA
U180	276792	277034	1	M14	SigA	NA
U182	278308	279234	1	M7	SigA	S96, ycbL, ycbM
U183	280579	282200	-1	M11	SigB	ycbP, S97
U185	281785	282445	-1	M15	Sig-	ycbP
U187	281785	283231	-1	M19	SigA	S98, ycbP
U184	282431	282875	1	M3	SigEF	cwlJ
U186	282963	283645	1	M4	SigA	ycbR
U188	283968	286801	1	M6	Sig-	phoD, tatAD, S99, tatCD
U190	286050	287449	-1	M14	SigA	pcp
U191	287471	287791	1	M14	SigA	ycbU
U193	288637	290750	-1	M14	SigA	lmrA, lmrB
U194	290880	292015	1	M14	SigA	ansZ
U195	292159	294589	1	M14	SigA	estA, S100, yccF
U196	292905	293301	-1	M14	SigA	yczC
U197	293466	294567	1	M16	SigA	yccF
U198	294819	296315	-1	M4	SigA	natR, natK
U199	296394	299803	1	M7	SigA	natA, natB, yccK
U200	298401	299803	1	M1	SigH	yccK
U201	299439	300698	-1	M14	SigA	S101, ycdA
U203	302355	305545	1	M19	SigA	S102, ycdC, S103,rapJ
U205	303751	304390	-1	M4	SigA	S104, cwlK
U204	304379	310825	1	M4	SigA	rapJ,ycdF, ycdG, adcA, adcC, adcB
U206	305616	310825	1	M11	SigB	ycdF, ycdG, adcA, adcC, adcB
U208	308264	310825	1	M14	SigA	adcA, adcC, adcB
U209	308911	310825	1	M17	SigA	adcC, adcB
U211	310901	311915	-1	M19	SigA	yceB
U212	312063	318899	1	M9	SigWXY	S106, yceC, yceD, yceE, yceF, yceG, yceH, yceI
U210	311859	317579	1	M19	SigA	S105,S106, yceC, yceD, yceE, yceF, yceG, yceH
U213	317687	319537	1	M14	SigA	yceI
U214	319195	320725	-1	M7	SigA	yceK, yceJ
U215	320972	323981	1	M4	SigA	opuAA, opuAB, opuAC
U216	323793	325277	-1	M4	SigA	S107, amhX
U217	325280	329611	1	M14	SigA	ycgA,ycgB, S108, amyE
U219	326846	329633	1	M19	SigA	ycgB, S108, amyE
U221	327480	329633	1	M14	SigA	S108, amyE
U220	327282	329633	1	M21	Sig-	S108, amyE
U222	329694	332383	1	M19	SigA	ldh, lctP
U225	332459	334062	-1	M17	SigA	mdr
U224	334027	335676	1	M16	SigA	ycgE, ycgF, ycgG
U226	334597	336071	1	M3	SigEF	ycgF, ycgG
U227	335301	336093	1	M5	SigK	ycgG
U228	335752	337469	-1	M8	SigGF	ycgH, S109
U229	337525	337657	1	M8	SigGF	ycgI
U230	338187	339153	1	M14	SigA	S110, nadE
U234	339989	340561	1	M14	SigA	aroK
U232	339881	340561	1	M14	SigA	S112, aroK
U235	340637	341412	-1	M19	SigA	ycgJ
U236	341441	344323	1	M14	SigA	ycgK, S113, cah, S114, ycgL
U238	343575	348547	1	M3	SigEF	ycgL, S115, ycgM, ycgN, S116, ycgO
U237	342981	343663	1	M8	SigGF	S114, ycgL
U239	344499	350593	1	M7	SigA	ycgM, ycgN, S116, ycgO, S118, ycgP
U242	347029	349801	1	M13	Sig-	S116, ycgO, S118, ycgP
U241	346589	348569	1	M4	SigA	S116, ycgO
U240	346478	349779	1	M19	SigA	S116, ycgO, S118, ycgP
U243	348694	349933	1	M14	SigA	ycgP
U245	350009	351794	-1	M9	SigWXY	ycgR, ycgQ
U246	350339	352735	-1	M7	SigA	ycgS, ycgR,ycgQ
U247	352794	356291	1	M4	SigA	S119, ycgT, S120
U250	353903	355641	-1	M19	SigA	nasF
U251	353903	358220	-1	M4	SigA	nasD, nasE, nasF
U252	353903	362816	-1	M21	Sig-	nasB, nasC, nasD, nasE, nasF
U253	362892	364127	1	M19	SigA	nasA
U254	364215	367248	1	M17	SigA	folEB, yciB,yczL, yciC
U255	365796	368040	1	M17	SigA	yczL, yciC, S121
U256	367302	368892	-1	M14	SigA	yckB, yckA
U262	367324	372626	-1	M19	SigA	nucA, nin, S122, yckB, yckA
U264	367324	372846	-1	M13	Sig-	S124, nucA, nin, S122,yckB, yckA
U258	369188	369668	1	M3	SigEF	yckC
U257	368964	369668	1	M11	SigB	S123, yckC
U259	369727	370086	1	M8	SigGF	yckD
U260	370218	371670	1	M19	SigA	bglC
U261	370316	372164	-1	M18	Sig-	nin, S122
